Name,Distributor,Month,Country,Genre,Runtime,Grade,Screen_Type,Story,Series,Audience_Reviews,Critic_Reviews,Trailer_views,Preview,Screen,Audience
예수는 역사다,Minor,7,America,Drama,113,All,2D,No,No,8.45,5.00,67618,6025,217,172414
극장판 도라에몽 : 진구의 남극 꽁꽁 대모험,Major,8,Japan,Animation,100,All,2D,No,Yes,9.77,6.00,56622,1678,351,167052
더 큐어,Major,2,America,Mystery,146,19,2D,No,No,9.27,6.20,738087,1696,419,159948
아토믹 블론드,Minor,8,America,Action,114,19,2D,No,No,9.02,6.43,456417,3122,471,155368
레고 닌자고 무비,Major,9,America,Animation,101,All,3D,No,No,9.38,4.00,401879,4378,459,154966
비정규직 특수요원,Minor,3,Korea,Comedy,117,15,2D,No,No,8.30,3.25,653498,3559,497,149719
레고 배트맨 무비,Major,2,America,Animation,104,All,IMAX,No,No,9.46,6.67,61871,29580,427,148760
극장판 또봇 : 로봇군단의 습격,Major,4,Korea,Animation,81,All,2D,No,Yes,9.71,6.00,43145,2328,231,141592
극장판 에그엔젤 코코밍 : 푸르밍과 두근두근 코코밍 세계,Major,9,Japan,Animation,76,All,2D,No,Yes,9.82,5.00,41254,665,232,137052
로마의 휴일,Major,12,Korea,Comedy,107,15,2D,No,No,7.99,3.00,516194,11008,436,134827
명탐정 코난 : 에피소드 원 - 작아진 명탐정,Major,2,Japan,Animation,95,12,2D,No,Yes,8.41,5.00,212955,900,215,128472
루돌프와 많이있어,Major,12,Japan,Animation,88,All,2D,No,No,9.65,6.38,87817,1725,375,215993
눈길,Minor,3,Korea,Drama,121,15,2D,Yes,No,8.71,6.00,107719,3729,495,130172
저수지 게임,Minor,9,Korea,Documentary,100,15,2D,No,No,8.65,6.67,55685,4317,289,125402
시간위의 집,Minor,4,Korea,Mystery,99,15,2D,No,No,9.01,4.71,440227,6086,454,128975
마이펫 오지,Major,2,Europe,Animation,89,All,2D,No,No,9.76,5.00,38489,1838,393,124318
"서서평, 천천히 평온하게",Minor,4,Korea,Documentary,78,All,2D,Yes,No,9.74,5.50,39860,3386,234,123206
짱구는 못말려 극장판 : 폭풍수면! 꿈꾸는 세계 대돌격,Major,1,Japan,Animation,96,All,2D,No,Yes,9.45,5.00,162823,2708,334,119197
킹 오브 프리즘 - 프라이드 더 히어로,Minor,6,Japan,Animation,70,15,4D,No,Yes,9.83,5.00,37461,497,92,119398
파리로 가는 길,Minor,8,America,Drama,92,12,2D,No,No,9.13,5.17,84986,769,79,119171
극장판 소드 아트 온라인 - 오디널 스케일 - ,Minor,2,Japan,Animation,121,12,4D,No,Yes,9.06,5.00,128630,0,124,117401
여교사,Minor,1,Korea,Drama,96,19,2D,No,No,8.77,6.78,452549,3838,393,118621
직쏘,Minor,11,America,Horror,91,19,2D,No,No,8.66,4.00,86782,672,175,111506
베이블레이드 버스트 갓 : 갓 발키리의 탄생,Major,2,Japan,Animation,78,All,2D,No,Yes,9.10,5.00,45169,462,198,109358
더 테이블,Minor,8,Korea,Drama,70,12,2D,No,No,9.06,5.00,132544,3434,272,103054
루시드 드림,Major,2,Korea,SF,101,15,2D,No,No,7.00,3.00,198781,6135,461,102170
딥워터 호라이즌,Minor,1,America,Action,107,12,2D,Yes,No,8.33,6.50,540883,1809,433,101303
